Sport,Game ID,Market,Profit Percentage,Outcome,Bookmaker,Price
NBA,b7f9752c63e2b5f1ef22d3d5d060f593,spreads,17.76%,Los Angeles Lakers,BetMGM,2.75
NBA,b7f9752c63e2b5f1ef22d3d5d060f593,spreads,17.76%,Washington Wizards,FanDuel,2.1799999999999997
NCAAB,dd3a47c43c2bb9a20f650a8d2c70f60a,h2h,12.16%,Middle Tennessee Blue Raiders,MyBookie.ag,4.6
NCAAB,dd3a47c43c2bb9a20f650a8d2c70f60a,h2h,12.16%,New Mexico St Aggies,BetRivers,1.5128205128205128
NCAAB,dd3a47c43c2bb9a20f650a8d2c70f60a,spreads,17.09%,Middle Tennessee Blue Raiders,DraftKings,3.3
NCAAB,dd3a47c43c2bb9a20f650a8d2c70f60a,spreads,17.09%,New Mexico St Aggies,MyBookie.ag,1.900900900900901
NCAAB,56711db15aea6344084c39adb1cdb18e,h2h,24.67%,Morehead St Eagles,DraftKings,4.4
NCAAB,56711db15aea6344084c39adb1cdb18e,h2h,24.67%,Tennessee Tech Golden Eagles,MyBookie.ag,1.900900900900901
NCAAB,3cccc9e50abbfe7c8856fd1d58477c61,h2h,19.14%,Louisiana Ragin' Cajuns,FanDuel,3.8
NCAAB,3cccc9e50abbfe7c8856fd1d58477c61,h2h,19.14%,Texas State Bobcats,DraftKings,1.8333333333333335
NCAAB,4739003cf1588475ccfdc687aa9d21ec,h2h,12.42%,South Alabama Jaguars,MyBookie.ag,1.9523809523809523
NCAAB,4739003cf1588475ccfdc687aa9d21ec,h2h,12.42%,UL Monroe Warhawks,BetMGM,2.75
NCAAB,864e045158342d7bfde851699e7a1d98,h2h,9.12%,Southern Utah Thunderbirds,DraftKings,5.7
NCAAB,864e045158342d7bfde851699e7a1d98,h2h,9.12%,UT-Arlington Mavericks,Bovada,1.3636363636363638
NCAAB,c7a1e07f263ba5b62b74f85edd8a1917,h2h,3.03%,Tarleton State Texans,MyBookie.ag,1.1200480192076832
NCAAB,c7a1e07f263ba5b62b74f85edd8a1917,h2h,3.03%,Utah Tech Trailblazers,DraftKings,13.0
NCAAB,b59fc2b30c7ebbf1f3a69ffd098a1127,h2h,27.15%,Eastern Kentucky Colonels,MyBookie.ag,3.65
NCAAB,b59fc2b30c7ebbf1f3a69ffd098a1127,h2h,27.15%,Lipscomb Bisons,BetMGM,2.2
NCAAB,901128cbb61570a15f2863b6364b6ae8,h2h,8.24%,Kennesaw St Owls,DraftKings,8.5
NCAAB,901128cbb61570a15f2863b6364b6ae8,h2h,8.24%,Liberty Flames,MyBookie.ag,1.25
NCAAB,bdfdf27198b736d150145695bba00612,h2h,3.33%,SE Missouri St Redhawks,MyBookie.ag,1.25
NCAAB,bdfdf27198b736d150145695bba00612,h2h,3.33%,Tenn-Martin Skyhawks,DraftKings,6.0
NCAAB,64298d421b67734a193fe0fa01b70926,h2h,5.76%,Idaho Vandals,MyBookie.ag,2.2
